id,name,measure,amount,cho,kcal
1272,Sundae chocolate (Mc’Donalds®),unidade,,40.00,290.00
1273,Sundae morango  (Mc’Donalds®),unidade,,47.00,292.00
1274,Super McShake coco (Mc’ Donalds®),copo pequeno,300.00,50.00,312.00
1275,Super McShake flocos (Mc’ Donalds®),copo pequeno,300.00,63.00,334.00
1276,Super McShake morango (Mc’ Donalds®),copo pequeno,300.00,64.00,336.00
1277,Sushi,unidade média,22.00,14.00,57.00
1278,Sushi de Atum,unidade,30.00,7.00,40.00
1279,Sushi de Salmao,unidade,30.00,7.00,38.00
1280,Suspiro,unidade média,10.00,9.00,38.00
1281,Sustagem,colher de sopa cheia,16.00,10.00,62.00
1282,Tablete Alpino® Diet,unidade,30.00,17.00,143.00
1283,Tainha,posta pequena,100.00,0.00,204.00
1284,Tambaqui (filé cru),pedaço médio,100.00,0.00,151.00
1285,Tangerina,unidade média,135.00,15.00,67.00
1286,Tapioca pronta,unidade pequena,100.00,43.00,174.00
1287,Tapioquinha com queijo e coco ralado,unidade pequena,100.00,62.00,430.00
1288,Tapioquinha com tucumã,unidade média,100.00,48.00,360.00
1289,Tartar de salmão,unidade,63.00,1.00,178.00
1290,Tartar de salmão com molho sour cream,porção,100.00,5.00,265.00
1291,Tarte de bacalhau,unidade média,90.00,27.00,282.00
1292,Tatu (carne) recheado com lingüiça,fatia,100.00,3.00,259.00
1293,Taça Habib’s®,unidade,330.00,69.00,554.00
1294,Temaki (média),unidade,120.00,24.00,258.00
1295,Temaki de Atum,unidade,100.00,18.00,157.00
1296,Temaki de Salmao,unidade,100.00,18.00,190.00
1297,Tempero Maggi® amaciante de carnes,colher de sopa cheia,10.00,2.00,14.00
1298,Tempero Maggi® fondor,colher de sopa cheia,10.00,2.00,14.00
1299,Tender,01 fatia fina,100.00,0.00,146.00
1300,Terrine ligth (peito de peru),porção,130.00,14.00,131.00
1301,Tiramissu,porção,100.00,21.00,364.00
1302,Tiramissú de frutas,taça,200.00,23.00,138.00
1303,"Tomate, purê de (enlatado)",colher de sopa cheia,20.00,1.00,8.00
1304,Top sundae caramelo (Mc’ Donalds®),unidade,,77.00,508.00
1305,Top sundae chocolate (Mc’ Donalds®),unidade,,65.00,475.00
1306,Top sundae morango (Mc’ Donalds®),unidade,,73.00,478.00
1307,Torradas,unidade,8.00,5.00,25.00
1308,"Torradas alho,água e sal Casa Victoriana®",10 unidades,30.00,16.00,150.00
1309,Torradas aperitivo,01 unidade,2.00,1.00,7.00
1310,Torresmo,colher de sopa cheia,10.00,0.00,54.00
1311,Torta Alemâ,fatia pequena,50.00,16.00,192.00
1312,Torta Alemã,fatia pequena,50.00,16.00,192.00
1313,Torta Floresta Negra,fatia pequena,50.00,22.00,133.00
1314,Torta de banana (Mc’ Donalds®),unidade,,34.00,228.00
1315,Torta de carne,fatia média,85.00,16.00,209.00
1316,Torta de frango,fatia média,85.00,16.00,200.00
1317,Torta de limão,fatia pequena,90.00,34.00,217.00
1318,Torta de maçã (Mc’ Donalds®),unidade,,26.00,198.00
1319,Torta holandesa,porção pequena,60.00,22.00,181.00
1320,Torta mousse de limão  Miss Daisy®,1/8 do pacote,60.00,16.00,121.00
1321,Torta quente (Burguer King®),unidade,,24.00,142.00
1322,Tortellini com recheio de carne,porção,190.00,33.00,367.00
1323,Tremoço em conserva,colher de sopa,20.00,3.00,24.00
1324,Trigo cozido,colher de sopa cheia,25.00,6.00,28.00
1325,Trigo em grão,colher de sopa cheia,25.00,20.00,91.00
1326,"Trigo, bolo de",fatia média,60.00,36.00,203.00
1327,Triplo cheese (Bob’s®),unidade,245.00,35.00,694.00
1328,Trufa de chocolate,unidade grande,30.00,15.00,140.00
1329,Tucumã descascado,colher de sopa cheia,30.00,2.00,142.00
1330,Tucunaré (filé cru),pedaço médio,100.00,0.00,102.00
1331,Tutu de feijão,colher de sopa cheia,20.00,7.00,43.00
1332,Tâmara seca,unidade,10.00,7.00,28.00
1333,Uramaki califórnia,unidade,20.00,10.00,47.00
1334,Uramaki salmão,unidade,22.00,10.00,62.00
1335,Uva comum,unidade,8.00,1.00,6.00
1336,Uva do tipo européia,cacho pequeno,100.00,18.00,79.00
1337,Uva itália (uva verde),unidade,8.00,1.00,6.00
1338,Uva passa,01 colher de sopa cheia,18.00,14.00,55.00
1339,Uísque,dose,50.00,0.00,120.00
1340,Vaca atolada,concha média cheia,100.00,3.00,259.00
1341,Vagem comum em conserva,colher de sopa cheia,20.00,1.00,4.00
1342,Vagem cozida,colher de sopa cheia,20.00,2.00,8.00
1343,Vatapá,unidade,100.00,9.00,127.00
1344,Vinagre,colher de sopa cheia,10.00,0.00,2.00
1345,Vinho (média),taça,150.00,6.00,26.00
1346,Vinho branco,taça,150.00,5.00,21.00
1347,Vinho branco seco,taça,150.00,0.00,99.00
1348,Vinho de jenipapo,taça,150.00,38.00,152.00
1349,Vinho quente,01 copo,150.00,24.00,98.00
1350,Vitamina de fruta com suco,copo duplo cheio,240.00,49.00,223.00
1351,Waffer® - média sabores,unidade,7.50,3.00,21.00
1352,Whopper JR® com queijo (Burguer King®),unidade,,31.00,464.00
1353,Whopper® com queijo (Burguer King®),unidade,,52.00,757.00
1354,Whopper® duplo com queijo  (Burguer King®),unidade,,52.00,978.00
1355,Xinxim de galinha,porção,150.00,1.00,358.00
1356,Yakult®,unidade,80.00,11.00,50.00
1357,Água-de-coco verde,copo duplo,240.00,10.00,43.00
1358,Óleos vegetais,colher de sopa cheia,8.00,0.00,72.00
